Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,01:43:40,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.98,1735.94,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
2,01:43:40,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.96,1735.94,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
3,01:43:40,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.94,1735.94,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
4,01:43:40,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.92,1735.94,0.00,55.00,0.00,1,0.00,0.00,0.00,1,0.00,0
5,01:43:40,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.90,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,1,0.00,0
6,01:43:40,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.88,1735.94,0.00,55.00,0.00,1,0.86,0.00,-0.21,1,0.00,0
7,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.86,1735.94,0.00,55.00,0.00,1,0.86,0.00,-0.21,1,0.00,0
8,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.84,1735.94,0.00,55.00,0.00,1,0.86,0.00,-0.21,1,0.00,0
9,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.82,1735.94,0.00,55.00,0.00,1,0.86,0.00,-0.21,1,0.00,0
10,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.80,1735.94,0.00,55.00,0.00,1,0.86,0.00,-0.21,1,0.00,0
11,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1289,0,-0.78,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,1,0.00,0
12,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1431,0,-0.76,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,1,0.00,0
13,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1580,0,-0.74,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,1,0.00,0
14,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1735,0,-0.72,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,1,0.00,0
15,01:43:41,0.00,-0.02,-0.00,0.33,-0.00,1897,0,-0.70,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,1,0.00,0
16,01:43:42,0.00,-0.02,-0.00,0.33,-0.00,2107,0,-0.68,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,1,0.00,0
17,01:43:42,0.00,-0.02,-0.00,0.33,-0.00,2328,0,-0.66,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,1,0.00,0
