Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,01:17:09,0.06,0.02,0.00,0.33,0.00,1152,0,-0.98,4183.37,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
2,01:17:09,0.06,0.02,0.00,0.33,0.00,1210,0,-0.96,4183.37,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
3,01:17:09,0.06,0.02,0.00,0.33,0.00,1329,0,-0.94,4183.37,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
4,01:17:09,0.06,0.02,0.00,0.33,0.00,1410,0,-0.92,4183.37,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
5,01:17:09,0.06,0.02,0.00,0.33,0.00,1558,0,-0.90,4183.37,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
6,01:17:09,0.06,0.02,0.00,0.33,0.00,1667,0,-0.88,4183.37,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
7,01:17:09,0.06,0.02,0.00,0.33,0.00,1732,0,-0.86,4183.37,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
8,01:17:09,0.06,0.02,0.00,0.33,0.00,1869,0,-0.84,4183.37,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
9,01:17:09,0.06,0.02,0.00,0.33,0.00,1962,0,-0.82,4183.37,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
10,01:17:09,0.06,0.02,0.00,0.33,0.00,2133,0,-0.80,4183.37,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
11,01:17:09,0.06,0.02,0.00,0.33,0.00,2257,0,-0.78,4183.37,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
12,01:17:09,0.06,0.02,0.00,0.33,0.00,2328,0,-0.76,4183.37,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
13,01:17:09,0.06,0.02,0.00,0.33,0.00,2484,0,-0.74,4183.37,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
14,01:17:09,0.06,0.02,0.00,0.33,0.00,2586,0,-0.72,4183.37,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
15,01:17:09,0.06,0.02,0.00,0.33,0.00,2779,0,-0.70,4183.37,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
16,01:17:09,0.06,0.02,0.00,0.33,0.00,2915,0,-0.68,4183.37,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
17,01:17:09,0.06,0.02,0.00,0.33,0.00,2990,0,-0.66,4183.37,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
18,01:17:09,0.06,0.02,0.00,0.33,0.00,3163,0,-0.64,4183.37,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
19,01:17:09,0.06,0.02,0.00,0.33,0.00,3273,0,-0.62,4183.37,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
20,01:17:09,0.06,0.02,0.00,0.33,0.00,3489,0,-0.60,4183.37,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
21,01:17:09,0.06,0.02,0.00,0.33,0.00,3642,0,-0.58,4183.37,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
22,01:17:09,0.06,0.02,0.00,0.33,0.00,3723,0,-0.56,4183.37,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
23,01:17:09,0.06,0.02,0.00,0.33,0.00,3921,0,-0.54,4183.37,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
24,01:17:09,0.06,0.02,0.00,0.33,0.00,4045,0,-0.52,4183.37,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
25,01:17:09,0.06,0.02,0.00,0.33,0.00,4298,0,-0.50,4183.37,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
26,01:17:09,0.06,0.02,0.00,0.33,0.00,4469,0,-0.48,4183.37,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
27,01:17:09,0.06,0.02,0.00,0.33,0.00,4554,0,-0.46,4183.37,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
28,01:17:10,0.06,0.02,0.00,0.33,0.00,4767,0,-0.44,4183.37,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
29,01:17:10,0.06,0.02,0.00,0.33,0.00,4892,0,-0.42,4183.37,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
30,01:17:10,0.06,0.02,0.00,0.33,0.00,5148,0,-0.40,4183.37,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
31,01:17:10,0.06,0.02,0.00,0.33,0.00,5314,0,-0.38,4183.37,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
32,01:17:10,0.06,0.02,0.00,0.33,0.00,5390,0,-0.36,4183.37,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
33,01:17:10,0.06,0.02,0.00,0.33,0.00,5599,0,-0.34,4183.37,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
34,01:17:10,0.06,0.02,0.00,0.33,0.00,5716,0,-0.32,4183.37,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
35,01:17:10,0.06,0.02,0.00,0.33,0.00,5966,0,-0.30,4183.37,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
36,01:17:10,0.06,0.02,0.00,0.33,0.00,6123,0,-0.28,4183.37,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
37,01:17:10,0.06,0.02,0.00,0.33,0.00,6190,0,-0.26,4183.37,0.00,54.99,0.00,1,0.60,0.00,-0.21,0,0.00,0
38,01:17:10,0.06,0.02,0.00,0.33,0.00,6390,0,-0.24,4183.37,0.00,54.99,0.00,1,0.40,0.00,-0.21,0,0.00,0
39,01:17:10,0.06,0.02,0.00,0.33,0.00,6498,0,-0.22,4183.37,0.00,54.99,0.00,1,0.70,0.00,-0.21,0,0.00,0
40,01:17:10,0.06,0.02,0.00,0.33,0.00,6738,0,-0.20,4183.37,0.00,54.99,0.00,1,0.50,0.00,-0.21,0,0.00,0
41,01:17:10,0.06,0.02,0.00,0.33,0.00,6887,0,-0.18,4183.37,0.00,54.99,0.00,1,0.30,0.00,-0.21,0,0.00,0
42,01:17:10,0.06,0.02,0.00,0.33,0.00,6945,0,-0.16,4183.37,0.00,54.99,0.00,1,0.60,0.00,-0.21,0,0.00,0
43,01:17:10,0.06,0.02,0.00,0.33,0.00,7134,0,-0.14,4183.37,0.00,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
44,01:17:10,0.06,0.02,0.00,0.33,0.00,7234,0,-0.12,4183.37,0.00,54.99,0.00,1,0.70,0.00,-0.21,1,0.00,0
45,01:17:10,0.06,0.02,0.00,0.33,0.00,7464,0,-0.10,4183.37,0.00,54.99,0.00,1,0.50,0.00,-0.21,1,0.00,0
46,01:17:10,0.06,0.02,0.00,0.33,0.00,7603,0,-0.08,4183.37,0.00,54.99,0.00,1,0.30,0.00,-0.21,1,0.00,0
47,01:17:10,0.06,0.02,0.00,0.33,0.00,7652,0,-0.06,4183.37,0.00,54.99,0.00,1,0.60,0.00,-0.21,1,0.00,0
48,01:17:10,0.06,0.02,0.00,0.33,0.00,7829,0,-0.04,4183.37,0.00,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
49,01:17:10,0.06,0.02,0.00,0.33,0.00,7916,0,-0.02,4183.37,0.00,54.99,0.00,1,0.70,0.00,-0.21,1,0.00,0
50,01:17:10,-0.06,-0.01,0.00,0.33,0.00,8324,0,0.02,4183.37,0.00,54.99,0.00,1,0.50,0.00,-0.21,1,0.00,0
51,01:17:10,0.07,0.01,0.00,0.33,0.00,1169,1,0.04,4183.37,0.00,54.99,0.00,1,0.30,0.00,-0.21,1,0.00,0
52,01:17:10,0.05,0.00,0.00,0.33,0.00,1188,1,0.06,4183.37,0.00,54.99,0.00,1,0.60,0.00,-0.21,1,0.00,0
53,01:17:10,0.05,-0.01,0.00,0.33,0.00,1208,1,0.08,4183.37,0.00,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
54,01:17:10,0.03,0.00,0.00,0.33,0.00,1227,1,0.10,4183.37,0.00,54.99,0.00,1,0.70,0.00,-0.21,1,0.00,0
55,01:17:10,0.03,-0.01,0.00,0.33,0.00,1246,1,0.12,4183.37,0.00,54.99,0.00,1,0.50,0.00,-0.21,1,0.00,0
56,01:17:10,0.02,0.00,0.00,0.33,0.00,1265,1,0.14,4183.37,0.00,54.99,0.00,1,0.30,0.00,-0.21,1,0.00,0
57,01:17:10,0.02,-0.00,0.00,0.33,0.00,1284,1,0.16,4183.37,0.00,54.99,0.00,1,0.60,0.00,-0.21,1,0.00,0
58,01:17:10,0.01,0.00,0.00,0.33,0.00,1304,1,0.18,4183.37,0.00,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
59,01:17:10,0.02,-0.00,0.00,0.33,0.00,1323,1,0.20,4183.37,0.00,54.99,0.00,1,0.70,0.00,-0.21,1,0.00,0
60,01:17:10,0.00,0.00,0.00,0.33,0.00,1342,1,0.22,4183.37,0.00,54.99,0.00,1,0.50,0.00,-0.21,1,0.00,0
61,01:17:10,0.24,-0.02,0.00,0.33,0.00,1152,1,0.24,4183.37,0.00,54.99,0.00,1,0.30,0.00,-0.21,1,0.00,0
62,01:17:10,0.33,-0.02,0.00,0.33,0.00,1152,1,0.26,4183.37,0.00,54.99,0.00,1,0.60,0.00,-0.21,1,0.00,0
63,01:17:10,0.58,-0.01,0.00,0.33,0.00,1152,1,0.28,4183.37,0.01,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
64,01:17:10,0.80,-0.02,0.00,0.33,0.00,1152,1,0.30,4183.38,0.01,54.99,0.00,1,0.70,0.00,-0.21,1,0.00,0
65,01:17:10,1.07,-0.05,0.00,0.33,0.00,1152,1,0.32,4183.38,0.02,54.99,0.00,1,0.50,0.00,-0.21,1,0.00,0
66,01:17:10,1.28,-0.06,0.01,0.33,0.00,1152,1,0.34,4183.39,0.02,54.99,0.00,1,0.30,0.00,-0.21,1,0.00,0
67,01:17:10,1.47,-0.05,0.01,0.33,0.00,1152,1,0.36,4183.40,0.03,54.99,0.00,1,0.60,0.00,-0.21,1,0.00,0
68,01:17:10,1.78,-0.09,0.01,0.33,0.00,1152,1,0.38,4183.41,0.04,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
69,01:17:10,1.92,-0.09,0.01,0.33,0.00,1152,1,0.40,4183.42,0.05,54.99,0.00,1,0.70,0.00,-0.21,1,0.00,0
70,01:17:10,2.33,-0.10,0.01,0.33,0.00,1152,1,0.42,4183.43,0.06,54.99,0.00,1,0.50,0.00,-0.21,1,0.00,0
71,01:17:10,2.56,-0.12,0.01,0.33,0.00,1152,1,0.44,4183.44,0.08,54.99,0.00,1,0.30,0.00,-0.21,1,0.00,0
72,01:17:10,2.63,-0.12,0.01,0.33,0.00,1152,1,0.46,4183.46,0.09,54.99,0.00,1,0.60,0.00,-0.21,1,0.00,0
73,01:17:10,2.94,-0.13,0.01,0.33,0.00,1152,1,0.48,4183.47,0.11,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
74,01:17:10,3.05,-0.14,0.01,0.33,0.01,1152,1,0.50,4183.49,0.12,54.99,0.00,1,0.70,0.00,-0.20,1,0.00,0
75,01:17:10,3.49,-0.14,0.01,0.33,0.01,1152,1,0.52,4183.51,0.14,54.99,0.00,1,0.50,0.00,-0.20,1,0.00,0
76,01:17:10,3.65,-0.16,0.01,0.33,0.01,1152,1,0.54,4183.53,0.16,54.99,0.00,1,0.30,0.00,-0.20,1,0.00,0
77,01:17:11,3.80,-0.18,0.01,0.33,0.01,1152,1,0.56,4183.55,0.18,54.99,0.00,1,0.60,0.00,-0.20,1,0.00,0
78,01:17:11,4.03,-0.18,0.01,0.33,0.01,1152,1,0.58,4183.57,0.20,54.99,0.00,1,0.40,0.00,-0.20,1,0.00,0
79,01:17:11,4.22,-0.19,0.01,0.33,0.01,1152,1,0.60,4183.59,0.23,54.99,0.00,1,0.70,0.00,-0.20,1,0.00,0
80,01:17:11,4.51,-0.20,0.01,0.33,0.01,1152,1,0.62,4183.62,0.25,54.99,0.00,1,0.50,0.00,-0.20,1,0.00,0
81,01:17:11,4.77,-0.20,0.01,0.33,0.01,1152,1,0.64,4183.64,0.28,54.99,0.00,1,0.30,0.00,-0.20,1,0.00,0
82,01:17:11,4.89,-0.21,0.01,0.33,0.01,1152,1,0.66,4183.67,0.30,54.99,0.00,1,0.60,0.00,-0.20,1,0.00,0
83,01:17:11,5.15,-0.22,0.02,0.33,0.01,1152,1,0.68,4183.70,0.33,54.99,0.00,1,0.40,0.00,-0.19,1,0.00,0
84,01:17:11,5.35,-0.22,0.02,0.33,0.01,1152,1,0.70,4183.73,0.36,54.99,0.00,1,0.70,0.00,-0.19,1,0.00,0
85,01:17:11,5.64,-0.23,0.02,0.33,0.01,1152,1,0.72,4183.76,0.39,54.99,0.00,1,0.50,0.00,-0.19,1,0.00,0
86,01:17:11,5.91,-0.24,0.02,0.33,0.02,1152,1,0.74,4183.79,0.42,54.99,0.00,1,0.30,0.00,-0.19,1,0.00,0
87,01:17:11,6.02,-0.25,0.02,0.33,0.02,1152,1,0.76,4183.82,0.46,54.99,0.00,1,0.60,0.00,-0.19,1,0.00,0
88,01:17:11,6.27,-0.26,0.02,0.33,0.02,1152,1,0.78,4183.86,0.49,54.99,0.00,1,0.40,0.00,-0.19,1,0.00,0
89,01:17:11,6.48,-0.26,0.02,0.33,0.02,1152,1,0.80,4183.89,0.53,54.99,0.00,1,0.70,0.00,-0.19,1,0.00,0
90,01:17:11,6.80,-0.27,0.02,0.33,0.02,1152,1,0.82,4183.93,0.56,54.99,0.00,1,0.50,0.00,-0.18,1,0.00,0
91,01:17:11,7.02,-0.28,0.03,0.33,0.02,1175,1,0.84,4183.97,0.60,54.99,0.00,1,0.30,0.00,-0.18,1,0.00,0
92,01:17:11,7.16,-0.28,0.03,0.33,0.02,1152,1,0.86,4184.01,0.64,54.99,0.00,1,0.60,0.00,-0.18,1,0.00,0
93,01:17:11,7.42,-0.29,0.03,0.33,0.02,1269,1,0.88,4184.05,0.68,54.99,0.00,1,0.40,0.00,-0.18,1,0.00,0
94,01:17:11,7.62,-0.30,0.03,0.33,0.03,1212,1,0.90,4184.09,0.72,54.99,0.00,1,0.70,0.00,-0.18,1,0.00,0
95,01:17:11,7.93,-0.31,0.03,0.33,0.03,1354,1,0.92,4184.13,0.77,54.99,0.00,1,0.50,0.00,-0.17,1,0.00,0
96,01:17:11,8.20,-0.31,0.03,0.33,0.03,1292,1,0.94,4184.18,0.81,54.99,0.00,1,0.30,0.00,-0.17,1,0.00,0
97,01:17:11,8.32,-0.31,0.03,0.33,0.03,1308,1,0.96,4184.22,0.86,54.99,0.00,1,0.60,0.00,-0.17,1,0.00,0
98,01:17:11,8.60,-0.31,0.03,0.32,0.03,1391,1,0.98,4184.27,0.90,54.99,0.00,1,0.40,0.00,-0.17,1,0.00,0
99,01:17:11,8.84,-0.32,0.03,0.32,0.03,1384,1,1.00,4184.32,0.96,54.99,0.00,1,0.70,0.00,-0.17,1,0.00,0
100,01:17:11,9.16,-0.32,0.03,0.32,0.03,1500,1,1.02,4184.37,1.01,54.99,0.00,1,0.50,0.00,-0.16,1,0.00,0
101,01:17:11,9.43,-0.33,0.03,0.32,0.03,1485,1,1.04,4184.42,1.06,54.99,0.00,1,0.30,0.00,-0.16,1,0.00,0
102,01:17:11,9.56,-0.33,0.03,0.32,0.04,1454,1,1.06,4184.48,1.11,54.99,0.00,1,0.60,0.00,-0.16,1,0.00,0
103,01:17:11,9.87,-0.34,0.03,0.32,0.04,1572,1,1.08,4184.53,1.17,54.99,0.00,1,0.40,0.00,-0.16,1,0.00,0
104,01:17:11,10.07,-0.34,0.03,0.32,0.04,1542,1,1.10,4184.59,1.22,54.99,0.00,1,0.70,0.00,-0.16,1,0.00,0
105,01:17:11,10.45,-0.35,0.04,0.32,0.04,1671,1,1.12,4184.64,1.28,54.99,0.00,1,0.50,0.00,-0.15,1,0.00,0
106,01:17:11,10.70,-0.35,0.04,0.32,0.04,1642,1,1.14,4184.70,1.34,54.99,0.00,1,0.30,0.00,-0.15,1,0.00,0
107,01:17:11,10.86,-0.35,0.04,0.32,0.04,1627,1,1.16,4184.76,1.40,54.99,0.00,1,0.60,0.00,-0.15,1,0.00,0
108,01:17:11,11.17,-0.36,0.04,0.32,0.04,1734,1,1.18,4184.82,1.46,54.99,0.00,1,0.40,0.00,-0.15,1,0.00,0
109,01:17:11,11.39,-0.36,0.04,0.32,0.05,1721,1,1.20,4184.89,1.52,54.99,0.00,1,0.70,0.00,-0.14,1,0.00,0
110,01:17:11,11.76,-0.36,0.04,0.32,0.05,1840,1,1.22,4184.95,1.58,54.99,0.00,1,0.50,0.00,-0.14,1,0.00,0
111,01:17:11,12.06,-0.36,0.04,0.32,0.05,1828,1,1.24,4185.02,1.65,54.99,0.00,1,0.30,0.00,-0.14,1,0.00,0
112,01:17:11,12.20,-0.36,0.04,0.31,0.05,1787,1,1.26,4185.08,1.72,54.99,0.00,1,0.60,0.00,-0.14,1,0.00,0
113,01:17:11,12.54,-0.36,0.04,0.31,0.05,1929,1,1.28,4185.15,1.79,54.99,0.00,1,0.40,0.00,-0.13,1,0.00,0
114,01:17:11,12.75,-0.36,0.04,0.31,0.05,1884,1,1.30,4185.22,1.86,54.99,0.00,1,0.70,0.00,-0.13,1,0.00,0
115,01:17:11,13.17,-0.36,0.04,0.31,0.06,2047,1,1.32,4185.29,1.93,54.99,0.00,1,0.50,0.00,-0.13,1,0.00,0
