Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1152,0,-0.98,1735.94,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
2,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1210,0,-0.96,1735.94,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
3,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1329,0,-0.94,1735.94,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
4,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1410,0,-0.92,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
5,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1558,0,-0.90,1735.94,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
6,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1667,0,-0.88,1735.94,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
7,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1732,0,-0.86,1735.94,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
8,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1869,0,-0.84,1735.94,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
9,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,1962,0,-0.82,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
10,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,2133,0,-0.80,1735.94,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
11,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,2257,0,-0.78,1735.94,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
12,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,2328,0,-0.76,1735.94,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
13,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,2484,0,-0.74,1735.94,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
14,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,2586,0,-0.72,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
15,01:20:58,0.00,-0.02,-0.00,0.33,-0.00,2779,0,-0.70,1735.94,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
16,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,2915,0,-0.68,1735.94,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
17,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,2990,0,-0.66,1735.94,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
18,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,3163,0,-0.64,1735.94,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
19,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,3273,0,-0.62,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
20,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,3489,0,-0.60,1735.94,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
21,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,3642,0,-0.58,1735.94,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
22,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,3723,0,-0.56,1735.94,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
23,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,3921,0,-0.54,1735.94,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
24,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,4045,0,-0.52,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
25,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,4298,0,-0.50,1735.94,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
26,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,4469,0,-0.48,1735.94,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
27,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,4554,0,-0.46,1735.94,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
28,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,4767,0,-0.44,1735.94,0.00,55.00,0.00,1,0.40,0.00,-0.21,0,0.00,0
29,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,4892,0,-0.42,1735.94,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
30,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,5148,0,-0.40,1735.94,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
31,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,5314,0,-0.38,1735.94,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
32,01:20:59,0.00,-0.02,-0.00,0.33,-0.00,5390,0,-0.36,1735.94,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
