Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
34,00:12:41,-0.01,-0.02,-0.00,0.33,0.00,5716,0,-0.32,2032.56,0.00,55.00,0.00,1,0.70,0.00,-0.21,0,0.00,0
35,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,5966,0,-0.30,2032.56,0.00,55.00,0.00,1,0.50,0.00,-0.21,0,0.00,0
36,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,6123,0,-0.28,2032.56,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
37,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,6190,0,-0.26,2032.56,0.00,54.99,0.00,1,0.60,0.00,-0.21,0,0.00,0
38,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,6390,0,-0.24,2032.56,0.00,54.99,0.00,1,0.40,0.00,-0.21,0,0.00,0
39,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,6498,0,-0.22,2032.56,0.00,54.99,0.00,1,0.70,0.00,-0.21,0,0.00,0
40,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,6738,0,-0.20,2032.56,0.00,54.99,0.00,1,0.50,0.00,-0.21,0,0.00,0
41,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,6887,0,-0.18,2032.56,0.00,54.99,0.00,1,0.30,0.00,-0.21,0,0.00,0
42,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,6945,0,-0.16,2032.56,0.00,54.99,0.00,1,0.60,0.00,-0.21,0,0.00,0
43,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,7134,0,-0.14,2032.56,0.00,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
44,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,7234,0,-0.12,2032.56,0.00,54.99,0.00,1,0.70,0.00,-0.21,1,0.00,0
45,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,7464,0,-0.10,2032.56,0.00,54.99,0.00,1,0.50,0.00,-0.21,1,0.00,0
46,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,7603,0,-0.08,2032.56,0.00,54.99,0.00,1,0.30,0.00,-0.21,1,0.00,0
47,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,7652,0,-0.06,2032.56,0.00,54.99,0.00,1,0.60,0.00,-0.21,1,0.00,0
48,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,7829,0,-0.04,2032.56,0.00,54.99,0.00,1,0.40,0.00,-0.21,1,0.00,0
49,00:12:42,-0.01,-0.02,-0.00,0.33,0.00,7916,0,-0.02,2032.56,0.00,54.99,0.00,1,0.70,0.00,-0.21,1,0.00,0
50,00:12:42,-0.00,0.05,-0.00,0.33,0.00,8324,0,0.02,2032.56,0.00,54.99,0.00,1,0.50,0.00,-0.21,1,0.00,0
