Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta
1,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,1152,0,-0.98,2032.56,0.00,55.00,0.00,1,0.30,0.00,-0.21,0,0.00,0
2,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,1210,0,-0.96,2032.56,0.00,55.00,0.00,1,0.60,0.00,-0.21,0,0.00,0
3,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,1329,0,-0.94,2032.56,0.00,55.00,0.00,1,0.90,0.00,-0.21,0,0.00,0
4,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,1516,0,-0.92,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
5,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,1738,0,-0.90,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
6,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,1974,0,-0.88,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
7,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,2225,0,-0.86,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
8,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,2490,0,-0.84,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
9,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,2769,0,-0.82,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
10,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,3061,0,-0.80,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
11,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,3370,0,-0.78,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
12,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,3700,0,-0.76,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
13,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,4056,0,-0.74,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
14,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,4438,0,-0.72,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
15,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,4826,0,-0.70,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
16,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,5214,0,-0.68,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
17,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,5602,0,-0.66,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
18,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,5986,0,-0.64,2032.56,0.00,55.00,0.00,1,1.00,0.00,-0.21,0,0.00,0
19,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,6366,0,-0.62,2032.56,0.00,54.99,0.00,1,1.00,0.00,-0.21,0,0.00,0
20,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,6741,0,-0.60,2032.56,0.00,54.99,0.00,1,1.00,0.00,-0.21,0,0.00,0
21,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,7110,0,-0.58,2032.56,0.00,54.99,0.00,1,1.00,0.00,-0.21,1,0.00,0
22,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,7474,0,-0.56,2032.56,0.00,54.99,0.00,1,1.00,0.00,-0.21,1,0.00,0
23,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,7827,0,-0.54,2032.56,0.00,54.99,0.00,1,1.00,0.00,-0.21,1,0.00,0
24,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,8161,0,-0.52,2032.56,0.00,54.99,0.00,1,1.00,0.00,-0.21,1,0.00,0
25,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,8476,0,-0.50,2032.56,0.00,54.99,0.00,1,1.00,0.00,-0.21,1,0.00,0
26,00:05:50,-0.01,-0.02,-0.00,0.33,0.00,8770,0,-0.48,2032.56,0.00,54.99,0.00,1,1.00,0.00,-0.21,1,0.00,0
